model,num_param,memT,memR,memA,memM,energy,co2,train_time,infer_time,test_00,inf_time,tr_acc,test_01,test_02,test_03,test_04,test_05,test_06,test_07,test_08,test_09,pretrain,type,efficient,dataset,pen,conv_idx,best_test,energy_conv,time_conv,co2_conv,E_n,pepr_e,C_n,pepr_c,T_n,pepr_t,pepr_m,cnn,pepr_t`
dla46x_c,1068440,25.435111424,3.001024512,0.038321152,2.267537408,0.018471027823,0.969728960727,11.8683469295502,0,0.629536290322581,0.831181740760803,0.893964501276408,0.667338709677419,0.688508064516129,0.676915322580645,0.777721774193548,0.717741935483871,0.756552419354839,0.688508064516129,0.784274193548387,0.730342741935484,1,CNN,0,derma_pt,0.6808580669695256,9,0.784274193548387,2.052336424777778,1.3187052143944666,0.107747662303,0.0073286542864643275,0.7785683353799989,0.0038041950915321085,0.7813019684350619,0.007530052261450464,0.7771949819245959,0.7348408902820942,True,0.7784127051972745
dla46_c,1301400,25.435111424,2.533359616,0.017119232,1.865551872,0.019036466251,1.132669741948,11.8669283390045,0,0.609042553191489,0.892916703224182,0.925946302816901,0.587765957446808,0.610039893617021,0.590425531914894,0.648936170212766,0.587433510638298,0.636635638297872,0.590757978723404,0.644614361702128,0.622007978723404,1,CNN,0,derma_pt,0.5786633411856894,5,0.648936170212766,3.8072932502,2.3733856678009,0.2265339483896,0.014235666306311965,0.6398277952264194,0.009509068000674968,0.6428235176708013,0.01426312077925644,0.6382656184938407,0.6208092844784898,True,0.6398104761160885
mobilevitv2_050,1370593,25.435111424,3.097493504,0.035255808,2.86905856,0.018340003461,1.091230205904,11.3941447734833,0,0.625997340425532,0.939352416992188,0.978102992957746,0.679521276595745,0.662898936170213,0.645279255319149,0.649933510638298,0.650265957446808,0.655917553191489,0.654587765957447,0.656582446808511,0.653257978723404,1,Other,1,derma_pt,0.6092890524477864,2,0.679521276595745,9.1700017305,5.69707238674165,0.545615102952,0.035341764983958635,0.6563255724608708,0.024833374319621383,0.6630553742913317,0.03548150056250813,0.6529476252896254,0.6339992208487961,False,0.656237003004502
mobilenetv2_050,1968680,25.435111424,2.227175424,0.053615616,1.934996992,0.010745538283,0.591004605559,7.33152437210083,0,0.729334677419355,0.74516909122467,0.961744181641705,0.772177419354839,0.800403225806452,0.808467741935484,0.81804435483871,0.823084677419355,0.827620967741935,0.828629032258064,0.828125,0.825100806451613,1,CNN,1,derma_pt,0.7916294590699116,8,0.828629032258064,1.343192285375,0.9164405465126038,0.073875575694875,0.004537664204140748,0.8248859766891439,0.0021774420745554177,0.8268286607437122,0.0049619990066535795,0.8235179629526926,0.8037709529488988,True,0.82453767712323
semnasnet_075,2912278,25.435111424,2.797600768,0.043697664,2.101021696,0.017971334176,1.051323049286,11.1877229213715,0,0.638962765957447,0.895846772193909,0.972821302816901,0.644946808510638,0.641622340425532,0.653922872340426,0.654587765957447,0.636968085106383,0.645279255319149,0.649601063829787,0.652593085106383,0.654920212765957,1,Other,1,derma_pt,0.6116669933978673,10,0.654920212765957,1.7971334176000002,1.11877229213715,0.1051323049286,0.0063242476751198635,0.6508043647750703,0.003678588997390365,0.652519860386959,0.006253682665165808,0.6499376733694705,0.619182877382695,False,0.6508500033821828
pvt_v2_b0,3666760,25.435111424,3.883925504,0.096902144,2.32384512,0.028399477007,1.618770189423,18.3465096950531,0,0.732358870967742,1.19646775722504,0.849872035522984,0.719758064516129,0.728326612903226,0.761592741935484,0.781754032258065,0.707157258064516,0.758568548387097,0.761088709677419,0.777721774193548,0.763608870967742,1,Other,1,derma_pt,0.6868552876119772,5,0.781754032258065,5.6798954014000005,3.66930193901062,0.3237540378846,0.021605696941464008,0.7652209013697953,0.014178194993837488,0.770825123353017,0.022536236128282632,0.7618930801542964,0.7050856080231085,False,0.7645245269919116
convnext_atto,3695520,25.435111424,1.59383552,0.09845248,1.502295552,0.018526567741,1.056014361265,11.8900804519653,0,0.669354838709677,0.683029842376709,0.786055567602044,0.676411290322581,0.711189516129032,0.701612903225807,0.710685483870968,0.718245967741936,0.716229838709677,0.72429435483871,0.758064516129032,0.75554435483871,1,CNN,0,derma_pt,0.7042086646673793,9,0.758064516129032,2.058507526777778,1.3211200502183666,0.1173349290294444,0.007352941992618838,0.7525311978833598,0.004264636612370172,0.7548453749065274,0.007545468547026875,0.7512089148886101,0.757169604747473,True,0.7523874006621565
mnasnet_100,4383312,25.435111424,2.342518784,0.094257152,2.041946112,0.015244344487,0.90703849697,9.95389533042908,0,0.801915322580645,0.752140402793884,0.983590182648402,0.80695564516129,0.820060483870968,0.820060483870968,0.824092741935484,0.829133064516129,0.851814516129032,0.83366935483871,0.842741935483871,0.836189516129032,1,Other,1,derma_pt,0.7888703112697152,7,0.851814516129032,2.177763498142857,1.4219850472041544,0.1295769281385714,0.007822299651864404,0.8452030843366706,0.00485257526566298,0.8477009833047692,0.00818938958828646,0.8435027927495602,0.8219419104978201,False,0.8448953390363361
spnasnet_100,4421616,25.435111424,2.531262464,0.068013056,2.220913152,0.020157601035,1.169140860031,12.4346008300781,0,0.655917553191489,0.994013953208923,0.950924295774648,0.646276595744681,0.638962765957447,0.646609042553192,0.677526595744681,0.639960106382979,0.654587765957447,0.66123670212766,0.655917553191489,0.658577127659574,1,Other,1,derma_pt,0.6101799691688393,5,0.677526595744681,4.031520207,2.48692016601562,0.2338281720062,0.015118159974165503,0.6674361886717936,0.009859383008193884,0.6709118191549086,0.014987923778255268,0.6658494748559179,0.6482215912736286,False,0.6675218294446431
ghostnet_100,5182508,25.435111424,2.021654528,0.105186304,1.895246848,0.017475087871,1.039767728328,11.3619537353516,0,0.829637096774193,0.96423921585083,0.985868684505219,0.836693548387097,0.836693548387097,0.847278225806452,0.850302419354839,0.853326612903226,0.845262096774193,0.841229838709677,0.852318548387097,0.857862903225806,1,CNN,1,derma_pt,0.8026704479915876,10,0.857862903225806,1.7475087871000003,1.13619537353516,0.1039767728328,0.006128939212610232,0.8526371420120008,0.0036230929972530385,0.85476600649339,0.006364911426887161,0.8512302149095768,0.8399924830216615,True,0.8524372158499389
hardcorenas_a,5260232,25.435111424,2.350907392,0.0822272,2.089581056,0.018172236396,1.035817474546,11.2712399959564,0,0.575797872340426,0.85634868144989,0.920664612676056,0.638962765957447,0.635970744680851,0.617021276595745,0.606050531914894,0.649601063829787,0.644281914893617,0.650265957446808,0.628656914893617,0.600398936170213,1,Other,1,derma_pt,0.5603327972048981,8,0.650265957446808,2.2715295495000003,1.40890499949455,0.12947718431825,0.008191336219827622,0.6449826873983601,0.004847784933065232,0.6471288161222583,0.00810588670628984,0.6439810579850326,0.6272230919587157,False,0.6450373577039354
